event_ts,event_ts_timezone,cycle_time,missing_activity,wrong_sequence,missed_activities,total_activities,activities,worker_presence,worker_absent,process_time,idle_time,target_cycle_time,batch_size,device_id,product_code,product_description,workstation_id,workstation_name,workstation_description,camera_id,camera_name,pos,cm_site,building_floor_line,qpl,line_side,shift,op_id
2022-04-14 07:49:31,2022-04-14 07:49:31,41.31999999999999,complete,wrong,0,11,"{""Step 1"": {""event_ts"": 1649922538, ""event_ts_timezone"": 1649922538, ""time"": 8.53, ""sequence"": 1, ""name"": ""01_waiting"", ""lean"": ""NVA"", ""target_time"": 10}, ""Step 2"": {""event_ts"": 1649922539, ""event_ts_timezone"": 1649922539, ""time"": 1.21, ""sequence"": 2, ""name"": ""02_pick up"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 3"": {""event_ts"": 1649922544, ""event_ts_timezone"": 1649922544, ""time"": 4.3, ""sequence"": 3, ""name"": ""03_place on fixture"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 4"": {""event_ts"": 1649922546, ""event_ts_timezone"": 1649922546, ""time"": 2.21, ""sequence"": 4, ""name"": ""04_pick up tool"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 5"": {""event_ts"": 1649922547, ""event_ts_timezone"": 1649922547, ""time"": 1.02, ""sequence"": 5, ""name"": ""05_pick up screw"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 6"": {""event_ts"": 1649922551, ""event_ts_timezone"": 1649922551, ""time"": 4.38, ""sequence"": 6, ""name"": ""06_place scew"", ""lean"": ""VA"", ""target_time"": 5}, ""Step 7"": {""event_ts"": 1649922564, ""event_ts_timezone"": 1649922564, ""time"": 12.75, ""sequence"": 7, ""name"": ""07_screw operation"", ""lean"": ""VA"", ""target_time"": 10}, ""Step 8"": {""event_ts"": -1, ""event_ts_timezone"": -1, ""time"": 0, ""name"": ""08_put back tool"", ""sequence"": -1, ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 9"": {""event_ts"": 1649922567, ""event_ts_timezone"": 1649922567, ""time"": 3.51, ""sequence"": 8, ""name"": ""09_remove from fixture"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 10"": {""event_ts"": 1649922570, ""event_ts_timezone"": 1649922570, ""time"": 2.5, ""sequence"": 9, ""name"": ""10_inspection"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 11"": {""event_ts"": 1649922571, ""event_ts_timezone"": 1649922571, ""time"": 0.91, ""sequence"": 10, ""name"": ""11_return item"", ""lean"": ""RNVA"", ""target_time"": 1}}",41.31999999999999,0,-1,-1,40.0,1,0123,phone2022,phone2022-description,1,AE-33,LXKS_C02-2FT-02_2_A_AE-33_0700-1800,2,CAM_001,1,LXKS,C02-2FT-02,2,A,0700-1800,2-0700-1800
2022-04-14 07:50:14,2022-04-14 07:50:14,43.39,complete,wrong,0,11,"{""Step 1"": {""event_ts"": 1649922580, ""event_ts_timezone"": 1649922580, ""time"": 9.44, ""sequence"": 1, ""name"": ""01_waiting"", ""lean"": ""NVA"", ""target_time"": 10}, ""Step 2"": {""event_ts"": 1649922582, ""event_ts_timezone"": 1649922582, ""time"": 1.96, ""sequence"": 2, ""name"": ""02_pick up"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 3"": {""event_ts"": 1649922584, ""event_ts_timezone"": 1649922584, ""time"": 2.03, ""sequence"": 3, ""name"": ""03_place on fixture"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 4"": {""event_ts"": 1649922587, ""event_ts_timezone"": 1649922587, ""time"": 2.54, ""sequence"": 4, ""name"": ""04_pick up tool"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 5"": {""event_ts"": -1, ""event_ts_timezone"": -1, ""time"": 0, ""name"": ""05_pick up screw"", ""sequence"": -1, ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 6"": {""event_ts"": 1649922595, ""event_ts_timezone"": 1649922595, ""time"": 7.74, ""sequence"": 5, ""name"": ""06_place scew"", ""lean"": ""VA"", ""target_time"": 5}, ""Step 7"": {""event_ts"": 1649922606, ""event_ts_timezone"": 1649922606, ""time"": 11.76, ""sequence"": 6, ""name"": ""07_screw operation"", ""lean"": ""VA"", ""target_time"": 10}, ""Step 8"": {""event_ts"": 1649922607, ""event_ts_timezone"": 1649922607, ""time"": 0.92, ""sequence"": 7, ""name"": ""08_put back tool"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 9"": {""event_ts"": 1649922610, ""event_ts_timezone"": 1649922610, ""time"": 2.44, ""sequence"": 8, ""name"": ""09_remove from fixture"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 10"": {""event_ts"": 1649922613, ""event_ts_timezone"": 1649922613, ""time"": 3.13, ""sequence"": 9, ""name"": ""10_inspection"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 11"": {""event_ts"": 1649922614, ""event_ts_timezone"": 1649922614, ""time"": 1.43, ""sequence"": 10, ""name"": ""11_return item"", ""lean"": ""RNVA"", ""target_time"": 1}}",43.39,0,-1,-1,40.0,1,0123,phone2022,phone2022-description,1,AE-33,LXKS_C02-2FT-02_2_A_AE-33_0700-1800,2,CAM_001,1,LXKS,C02-2FT-02,2,A,0700-1800,2-0700-1800
2022-04-14 07:50:53,2022-04-14 07:50:53,38.57000000000001,complete,wrong,0,11,"{""Step 1"": {""event_ts"": 1649922625, ""event_ts_timezone"": 1649922625, ""time"": 11.13, ""sequence"": 1, ""name"": ""01_waiting"", ""lean"": ""NVA"", ""target_time"": 10}, ""Step 2"": {""event_ts"": 1649922626, ""event_ts_timezone"": 1649922626, ""time"": 0.96, ""sequence"": 2, ""name"": ""02_pick up"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 3"": {""event_ts"": 1649922629, ""event_ts_timezone"": 1649922629, ""time"": 2.53, ""sequence"": 3, ""name"": ""03_place on fixture"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 4"": {""event_ts"": 1649922631, ""event_ts_timezone"": 1649922631, ""time"": 2.01, ""sequence"": 4, ""name"": ""04_pick up tool"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 5"": {""event_ts"": -1, ""event_ts_timezone"": -1, ""time"": 0, ""name"": ""05_pick up screw"", ""sequence"": -1, ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 6"": {""event_ts"": 1649922635, ""event_ts_timezone"": 1649922635, ""time"": 4.4, ""sequence"": 5, ""name"": ""06_place scew"", ""lean"": ""VA"", ""target_time"": 5}, ""Step 7"": {""event_ts"": 1649922644, ""event_ts_timezone"": 1649922644, ""time"": 8.78, ""sequence"": 6, ""name"": ""07_screw operation"", ""lean"": ""VA"", ""target_time"": 10}, ""Step 8"": {""event_ts"": 1649922645, ""event_ts_timezone"": 1649922645, ""time"": 0.8, ""sequence"": 7, ""name"": ""08_put back tool"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 9"": {""event_ts"": 1649922649, ""event_ts_timezone"": 1649922649, ""time"": 3.68, ""sequence"": 8, ""name"": ""09_remove from fixture"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 10"": {""event_ts"": 1649922651, ""event_ts_timezone"": 1649922651, ""time"": 2.65, ""sequence"": 9, ""name"": ""10_inspection"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 11"": {""event_ts"": 1649922653, ""event_ts_timezone"": 1649922653, ""time"": 1.63, ""sequence"": 10, ""name"": ""11_return item"", ""lean"": ""RNVA"", ""target_time"": 1}}",38.57000000000001,0,-1,-1,40.0,1,0123,phone2022,phone2022-description,1,AE-33,LXKS_C02-2FT-02_2_A_AE-33_0700-1800,2,CAM_001,1,LXKS,C02-2FT-02,2,A,0700-1800,2-0700-1800
2022-04-14 07:51:35,2022-04-14 07:51:35,42.41,complete,wrong,0,11,"{""Step 1"": {""event_ts"": 1649922666, ""event_ts_timezone"": 1649922666, ""time"": 12.84, ""sequence"": 1, ""name"": ""01_waiting"", ""lean"": ""NVA"", ""target_time"": 10}, ""Step 2"": {""event_ts"": 1649922667, ""event_ts_timezone"": 1649922667, ""time"": 1.1, ""sequence"": 2, ""name"": ""02_pick up"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 3"": {""event_ts"": 1649922670, ""event_ts_timezone"": 1649922670, ""time"": 2.87, ""sequence"": 3, ""name"": ""03_place on fixture"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 4"": {""event_ts"": 1649922673, ""event_ts_timezone"": 1649922673, ""time"": 3.75, ""sequence"": 4, ""name"": ""04_pick up tool"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 5"": {""event_ts"": 1649922674, ""event_ts_timezone"": 1649922674, ""time"": 0.94, ""sequence"": 5, ""name"": ""05_pick up screw"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 6"": {""event_ts"": 1649922679, ""event_ts_timezone"": 1649922679, ""time"": 4.92, ""sequence"": 6, ""name"": ""06_place scew"", ""lean"": ""VA"", ""target_time"": 5}, ""Step 7"": {""event_ts"": 1649922688, ""event_ts_timezone"": 1649922688, ""time"": 9.04, ""sequence"": 7, ""name"": ""07_screw operation"", ""lean"": ""VA"", ""target_time"": 10}, ""Step 8"": {""event_ts"": -1, ""event_ts_timezone"": -1, ""time"": 0, ""name"": ""08_put back tool"", ""sequence"": -1, ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 9"": {""event_ts"": 1649922691, ""event_ts_timezone"": 1649922691, ""time"": 2.48, ""sequence"": 8, ""name"": ""09_remove from fixture"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 10"": {""event_ts"": 1649922694, ""event_ts_timezone"": 1649922694, ""time"": 3.32, ""sequence"": 9, ""name"": ""10_inspection"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 11"": {""event_ts"": 1649922695, ""event_ts_timezone"": 1649922695, ""time"": 1.15, ""sequence"": 10, ""name"": ""11_return item"", ""lean"": ""RNVA"", ""target_time"": 1}}",42.41,0,-1,-1,40.0,1,0123,phone2022,phone2022-description,1,AE-33,LXKS_C02-2FT-02_2_A_AE-33_0700-1800,2,CAM_001,1,LXKS,C02-2FT-02,2,A,0700-1800,2-0700-1800
2022-04-14 07:52:17,2022-04-14 07:52:17,41.42999999999999,complete,correct,0,11,"{""Step 1"": {""event_ts"": 1649922704, ""event_ts_timezone"": 1649922704, ""time"": 8.62, ""sequence"": 1, ""name"": ""01_waiting"", ""lean"": ""NVA"", ""target_time"": 10}, ""Step 2"": {""event_ts"": 1649922705, ""event_ts_timezone"": 1649922705, ""time"": 0.83, ""sequence"": 2, ""name"": ""02_pick up"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 3"": {""event_ts"": 1649922707, ""event_ts_timezone"": 1649922707, ""time"": 2.4, ""sequence"": 3, ""name"": ""03_place on fixture"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 4"": {""event_ts"": 1649922710, ""event_ts_timezone"": 1649922710, ""time"": 2.66, ""sequence"": 4, ""name"": ""04_pick up tool"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 5"": {""event_ts"": 1649922711, ""event_ts_timezone"": 1649922711, ""time"": 0.95, ""sequence"": 5, ""name"": ""05_pick up screw"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 6"": {""event_ts"": 1649922721, ""event_ts_timezone"": 1649922721, ""time"": 10.2, ""sequence"": 6, ""name"": ""06_place scew"", ""lean"": ""VA"", ""target_time"": 5}, ""Step 7"": {""event_ts"": 1649922729, ""event_ts_timezone"": 1649922729, ""time"": 8.07, ""sequence"": 7, ""name"": ""07_screw operation"", ""lean"": ""VA"", ""target_time"": 10}, ""Step 8"": {""event_ts"": 1649922730, ""event_ts_timezone"": 1649922730, ""time"": 1.01, ""sequence"": 8, ""name"": ""08_put back tool"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 9"": {""event_ts"": 1649922733, ""event_ts_timezone"": 1649922733, ""time"": 2.98, ""sequence"": 9, ""name"": ""09_remove from fixture"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 10"": {""event_ts"": 1649922736, ""event_ts_timezone"": 1649922736, ""time"": 2.66, ""sequence"": 10, ""name"": ""10_inspection"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 11"": {""event_ts"": 1649922737, ""event_ts_timezone"": 1649922737, ""time"": 1.05, ""sequence"": 11, ""name"": ""11_return item"", ""lean"": ""RNVA"", ""target_time"": 1}}",41.42999999999999,0,-1,-1,40.0,1,0123,phone2022,phone2022-description,1,AE-33,LXKS_C02-2FT-02_2_A_AE-33_0700-1800,2,CAM_001,1,LXKS,C02-2FT-02,2,A,0700-1800,2-0700-1800
2022-04-14 07:52:58,2022-04-14 07:52:58,40.9,complete,correct,0,11,"{""Step 1"": {""event_ts"": 1649922748, ""event_ts_timezone"": 1649922748, ""time"": 11.42, ""sequence"": 1, ""name"": ""01_waiting"", ""lean"": ""NVA"", ""target_time"": 10}, ""Step 2"": {""event_ts"": 1649922749, ""event_ts_timezone"": 1649922749, ""time"": 0.92, ""sequence"": 2, ""name"": ""02_pick up"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 3"": {""event_ts"": 1649922751, ""event_ts_timezone"": 1649922751, ""time"": 2.02, ""sequence"": 3, ""name"": ""03_place on fixture"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 4"": {""event_ts"": 1649922753, ""event_ts_timezone"": 1649922753, ""time"": 2.03, ""sequence"": 4, ""name"": ""04_pick up tool"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 5"": {""event_ts"": 1649922754, ""event_ts_timezone"": 1649922754, ""time"": 0.98, ""sequence"": 5, ""name"": ""05_pick up screw"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 6"": {""event_ts"": 1649922759, ""event_ts_timezone"": 1649922759, ""time"": 5.12, ""sequence"": 6, ""name"": ""06_place scew"", ""lean"": ""VA"", ""target_time"": 5}, ""Step 7"": {""event_ts"": 1649922768, ""event_ts_timezone"": 1649922768, ""time"": 9.02, ""sequence"": 7, ""name"": ""07_screw operation"", ""lean"": ""VA"", ""target_time"": 10}, ""Step 8"": {""event_ts"": 1649922769, ""event_ts_timezone"": 1649922769, ""time"": 0.83, ""sequence"": 8, ""name"": ""08_put back tool"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 9"": {""event_ts"": 1649922774, ""event_ts_timezone"": 1649922774, ""time"": 4.86, ""sequence"": 9, ""name"": ""09_remove from fixture"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 10"": {""event_ts"": 1649922777, ""event_ts_timezone"": 1649922777, ""time"": 2.72, ""sequence"": 10, ""name"": ""10_inspection"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 11"": {""event_ts"": 1649922778, ""event_ts_timezone"": 1649922778, ""time"": 0.98, ""sequence"": 11, ""name"": ""11_return item"", ""lean"": ""RNVA"", ""target_time"": 1}}",40.9,0,-1,-1,40.0,1,0123,phone2022,phone2022-description,1,AE-33,LXKS_C02-2FT-02_2_A_AE-33_0700-1800,2,CAM_001,1,LXKS,C02-2FT-02,2,A,0700-1800,2-0700-1800
2022-04-14 07:53:42,2022-04-14 07:53:42,43.99,complete,correct,0,11,"{""Step 1"": {""event_ts"": 1649922787, ""event_ts_timezone"": 1649922787, ""time"": 9.08, ""sequence"": 1, ""name"": ""01_waiting"", ""lean"": ""NVA"", ""target_time"": 10}, ""Step 2"": {""event_ts"": 1649922787, ""event_ts_timezone"": 1649922787, ""time"": 0.8, ""sequence"": 2, ""name"": ""02_pick up"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 3"": {""event_ts"": 1649922791, ""event_ts_timezone"": 1649922791, ""time"": 3.38, ""sequence"": 3, ""name"": ""03_place on fixture"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 4"": {""event_ts"": 1649922793, ""event_ts_timezone"": 1649922793, ""time"": 2.57, ""sequence"": 4, ""name"": ""04_pick up tool"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 5"": {""event_ts"": 1649922794, ""event_ts_timezone"": 1649922794, ""time"": 0.86, ""sequence"": 5, ""name"": ""05_pick up screw"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 6"": {""event_ts"": 1649922798, ""event_ts_timezone"": 1649922798, ""time"": 4.23, ""sequence"": 6, ""name"": ""06_place scew"", ""lean"": ""VA"", ""target_time"": 5}, ""Step 7"": {""event_ts"": 1649922813, ""event_ts_timezone"": 1649922813, ""time"": 14.56, ""sequence"": 7, ""name"": ""07_screw operation"", ""lean"": ""VA"", ""target_time"": 10}, ""Step 8"": {""event_ts"": 1649922814, ""event_ts_timezone"": 1649922814, ""time"": 1.27, ""sequence"": 8, ""name"": ""08_put back tool"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 9"": {""event_ts"": 1649922818, ""event_ts_timezone"": 1649922818, ""time"": 3.26, ""sequence"": 9, ""name"": ""09_remove from fixture"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 10"": {""event_ts"": 1649922821, ""event_ts_timezone"": 1649922821, ""time"": 3.11, ""sequence"": 10, ""name"": ""10_inspection"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 11"": {""event_ts"": 1649922822, ""event_ts_timezone"": 1649922822, ""time"": 0.87, ""sequence"": 11, ""name"": ""11_return item"", ""lean"": ""RNVA"", ""target_time"": 1}}",43.99,0,-1,-1,40.0,1,0123,phone2022,phone2022-description,1,AE-33,LXKS_C02-2FT-02_2_A_AE-33_0700-1800,2,CAM_001,1,LXKS,C02-2FT-02,2,A,0700-1800,2-0700-1800
2022-04-14 07:54:33,2022-04-14 07:54:33,51.589999999999996,complete,correct,0,11,"{""Step 1"": {""event_ts"": 1649922838, ""event_ts_timezone"": 1649922838, ""time"": 16.49, ""sequence"": 1, ""name"": ""01_waiting"", ""lean"": ""NVA"", ""target_time"": 10}, ""Step 2"": {""event_ts"": 1649922840, ""event_ts_timezone"": 1649922840, ""time"": 1.99, ""sequence"": 2, ""name"": ""02_pick up"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 3"": {""event_ts"": 1649922843, ""event_ts_timezone"": 1649922843, ""time"": 3.44, ""sequence"": 3, ""name"": ""03_place on fixture"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 4"": {""event_ts"": 1649922846, ""event_ts_timezone"": 1649922846, ""time"": 2.68, ""sequence"": 4, ""name"": ""04_pick up tool"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 5"": {""event_ts"": 1649922848, ""event_ts_timezone"": 1649922848, ""time"": 2.22, ""sequence"": 5, ""name"": ""05_pick up screw"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 6"": {""event_ts"": 1649922853, ""event_ts_timezone"": 1649922853, ""time"": 4.96, ""sequence"": 6, ""name"": ""06_place scew"", ""lean"": ""VA"", ""target_time"": 5}, ""Step 7"": {""event_ts"": 1649922862, ""event_ts_timezone"": 1649922862, ""time"": 8.99, ""sequence"": 7, ""name"": ""07_screw operation"", ""lean"": ""VA"", ""target_time"": 10}, ""Step 8"": {""event_ts"": 1649922864, ""event_ts_timezone"": 1649922864, ""time"": 1.25, ""sequence"": 8, ""name"": ""08_put back tool"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 9"": {""event_ts"": 1649922867, ""event_ts_timezone"": 1649922867, ""time"": 3.42, ""sequence"": 9, ""name"": ""09_remove from fixture"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 10"": {""event_ts"": 1649922872, ""event_ts_timezone"": 1649922872, ""time"": 5.33, ""sequence"": 10, ""name"": ""10_inspection"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 11"": {""event_ts"": 1649922873, ""event_ts_timezone"": 1649922873, ""time"": 0.82, ""sequence"": 11, ""name"": ""11_return item"", ""lean"": ""RNVA"", ""target_time"": 1}}",51.589999999999996,0,-1,-1,40.0,1,0123,phone2022,phone2022-description,1,AE-33,LXKS_C02-2FT-02_2_A_AE-33_0700-1800,2,CAM_001,1,LXKS,C02-2FT-02,2,A,0700-1800,2-0700-1800
2022-04-14 07:55:23,2022-04-14 07:55:23,50.01,complete,correct,0,11,"{""Step 1"": {""event_ts"": 1649922886, ""event_ts_timezone"": 1649922886, ""time"": 12.98, ""sequence"": 1, ""name"": ""01_waiting"", ""lean"": ""NVA"", ""target_time"": 10}, ""Step 2"": {""event_ts"": 1649922887, ""event_ts_timezone"": 1649922887, ""time"": 1.25, ""sequence"": 2, ""name"": ""02_pick up"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 3"": {""event_ts"": 1649922890, ""event_ts_timezone"": 1649922890, ""time"": 2.69, ""sequence"": 3, ""name"": ""03_place on fixture"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 4"": {""event_ts"": 1649922893, ""event_ts_timezone"": 1649922893, ""time"": 2.95, ""sequence"": 4, ""name"": ""04_pick up tool"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 5"": {""event_ts"": 1649922895, ""event_ts_timezone"": 1649922895, ""time"": 2.26, ""sequence"": 5, ""name"": ""05_pick up screw"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 6"": {""event_ts"": 1649922901, ""event_ts_timezone"": 1649922901, ""time"": 5.95, ""sequence"": 6, ""name"": ""06_place scew"", ""lean"": ""VA"", ""target_time"": 5}, ""Step 7"": {""event_ts"": 1649922913, ""event_ts_timezone"": 1649922913, ""time"": 11.49, ""sequence"": 7, ""name"": ""07_screw operation"", ""lean"": ""VA"", ""target_time"": 10}, ""Step 8"": {""event_ts"": 1649922914, ""event_ts_timezone"": 1649922914, ""time"": 0.85, ""sequence"": 8, ""name"": ""08_put back tool"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 9"": {""event_ts"": 1649922918, ""event_ts_timezone"": 1649922918, ""time"": 4.29, ""sequence"": 9, ""name"": ""09_remove from fixture"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 10"": {""event_ts"": 1649922921, ""event_ts_timezone"": 1649922921, ""time"": 3.01, ""sequence"": 10, ""name"": ""10_inspection"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 11"": {""event_ts"": 1649922923, ""event_ts_timezone"": 1649922923, ""time"": 2.29, ""sequence"": 11, ""name"": ""11_return item"", ""lean"": ""RNVA"", ""target_time"": 1}}",50.01,0,-1,-1,40.0,1,0123,phone2022,phone2022-description,1,AE-33,LXKS_C02-2FT-02_2_A_AE-33_0700-1800,2,CAM_001,1,LXKS,C02-2FT-02,2,A,0700-1800,2-0700-1800
2022-04-14 07:56:06,2022-04-14 07:56:06,43.38,complete,correct,0,11,"{""Step 1"": {""event_ts"": 1649922934, ""event_ts_timezone"": 1649922934, ""time"": 10.77, ""sequence"": 1, ""name"": ""01_waiting"", ""lean"": ""NVA"", ""target_time"": 10}, ""Step 2"": {""event_ts"": 1649922935, ""event_ts_timezone"": 1649922935, ""time"": 0.96, ""sequence"": 2, ""name"": ""02_pick up"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 3"": {""event_ts"": 1649922937, ""event_ts_timezone"": 1649922937, ""time"": 2.45, ""sequence"": 3, ""name"": ""03_place on fixture"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 4"": {""event_ts"": 1649922940, ""event_ts_timezone"": 1649922940, ""time"": 2.29, ""sequence"": 4, ""name"": ""04_pick up tool"", ""lean"": ""RNVA"", ""target_time"": 2.5}, ""Step 5"": {""event_ts"": 1649922941, ""event_ts_timezone"": 1649922941, ""time"": 0.97, ""sequence"": 5, ""name"": ""05_pick up screw"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 6"": {""event_ts"": 1649922946, ""event_ts_timezone"": 1649922946, ""time"": 5.66, ""sequence"": 6, ""name"": ""06_place scew"", ""lean"": ""VA"", ""target_time"": 5}, ""Step 7"": {""event_ts"": 1649922958, ""event_ts_timezone"": 1649922958, ""time"": 11.93, ""sequence"": 7, ""name"": ""07_screw operation"", ""lean"": ""VA"", ""target_time"": 10}, ""Step 8"": {""event_ts"": 1649922960, ""event_ts_timezone"": 1649922960, ""time"": 1.65, ""sequence"": 8, ""name"": ""08_put back tool"", ""lean"": ""RNVA"", ""target_time"": 1}, ""Step 9"": {""event_ts"": 1649922963, ""event_ts_timezone"": 1649922963, ""time"": 3.35, ""sequence"": 9, ""name"": ""09_remove from fixture"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 10"": {""event_ts"": 1649922966, ""event_ts_timezone"": 1649922966, ""time"": 2.42, ""sequence"": 10, ""name"": ""10_inspection"", ""lean"": ""RNVA"", ""target_time"": 3}, ""Step 11"": {""event_ts"": 1649922966, ""event_ts_timezone"": 1649922966, ""time"": 0.93, ""sequence"": 11, ""name"": ""11_return item"", ""lean"": ""RNVA"", ""target_time"": 1}}",43.38,0,-1,-1,40.0,1,0123,phone2022,phone2022-description,1,AE-33,LXKS_C02-2FT-02_2_A_AE-33_0700-1800,2,CAM_001,1,LXKS,C02-2FT-02,2,A,0700-1800,2-0700-1800
